year,lower bound,population,upper bound
1950,,2493092848,
1951,,2536927035,
1952,,2584086340,
1953,,2634106236,
1954,,2685894860,
1955,,2740213793,
1956,,2795409994,
1957,,2852618337,
1958,,2911249671,
1959,,2965950351,
1960,,3015470895,
1961,,3064869675,
1962,,3123374315,
1963,,3192807828,
1964,,3264487340,
1965,,3334533704,
1966,,3404041125,
1967,,3473412880,
1968,,3545187251,
1969,,3619491580,
1970,,3694683794,
1971,,3769847866,
1972,,3844917680,
1973,,3920805042,
1974,,3996416096,
1975,,4070735278,
1976,,4144246378,
1977,,4217863796,
1978,,4292097502,
1979,,4368539528,
1980,,4447606237,
1981,,4528777307,
1982,,4612673421,
1983,,4697327574,
1984,,4782175519,
1985,,4868943466,
1986,,4958072838,
1987,,5049746398,
1988,,5141992542,
1989,,5234431732,
1990,,5327803110,
1991,,5418735892,
1992,,5505989816,
1993,,5591544797,
1994,,5675551256,
1995,,5758878982,
1996,,5842055734,
1997,,5924787817,
1998,,6007066690,
1999,,6089006340,
2000,,6171702994,
2001,,6254936460,
2002,,6337730342,
2003,,6420361634,
2004,,6503377772,
2005,,6586970132,
2006,,6671452016,
2007,,6757308782,
2008,,6844457662,
2009,,6932766416,
2010,,7021732148,
2011,,7110923766,
2012,,7201202485,
2013,,7291793585,
2014,,7381616244,
2015,,7470491872,
2016,,7558554526,
2017,,7645617954,
2018,,7729902781,
2019,,7811293699,
2020,,7887001292,
2021,,7954448392,
2022,,8021407192,
2023,,8091734930,
2024,8159135,8161972573,8164764
2025,8222718,8231613070,8240338
2026,8285110,8300678396,8315997
2027,8346233,8369094345,8391067
2028,8406282,8436618886,8465689
2029,8465175,8503285323,8539969
2030,8523151,8569124911,8613147
2031,8580034,8634119334,8685994
2032,8635246,8698229812,8758211
2033,8689356,8761449081,8829732
2034,8741947,8823784909,8901296
2035,8793450,8885210181,8971673
2036,8844306,8945686615,9040104
2037,8894935,9005152624,9108833
2038,8944354,9063572926,9177960
2039,8991152,9120928380,9244952
2040,9037046,9177190203,9309843
2041,9081786,9232281575,9374001
2042,9123097,9286110371,9436273
2043,9163314,9338661314,9497421
2044,9204258,9389873694,9558757
2045,9243952,9439639668,9617361
2046,9282920,9487889604,9674347
2047,9318906,9534545978,9731368
2048,9352511,9579536043,9788554
2049,9385925,9622824029,9845765
2050,9415740,9664378587,9899899
2051,9442988,9704192304,9951664
2052,9468365,9742264515,10003929
2053,9491448,9778614614,10054512
2054,9511414,9813251659,10103903
2055,9529325,9846237571,10152796
2056,9547815,9877680392,10199352
2057,9566655,9907637193,10242061
2058,9582949,9936164379,10282776
2059,9597100,9963337083,10323698
2060,9612171,9989232292,10363653
2061,9624800,10013916213,10402167
2062,9634284,10037466600,10440923
2063,9641687,10059950035,10481077
2064,9646667,10081402737,10517817
2065,9648645,10101849561,10549881
2066,9652156,10121317108,10582727
2067,9657513,10139808361,10616604
2068,9658559,10157301941,10651239
2069,9658179,10173782135,10685545
2070,9656087,10189241959,10720061
2071,9651041,10203681569,10754601
2072,9647559,10217055169,10785724
2073,9642314,10229327824,10815082
2074,9632818,10240485056,10848936
2075,9622117,10250496432,10882310
2076,9612226,10259351432,10910798
2077,9602637,10267045023,10939235
2078,9592411,10273556323,10964846
2079,9581348,10278887473,10992595
2080,9568231,10283078029,11021488
2081,9554201,10286161735,11048316
2082,9542056,10288205050,11074490
2083,9523966,10289247324,11098800
2084,9502894,10289315244,11119013
2085,9487640,10288456599,11136009
2086,9468902,10286708360,11156545
2087,9448446,10284111374,11176787
2088,9425391,10280704573,11195776
2089,9398094,10276518280,11222098
2090,9372318,10271565071,11249075
2091,9346548,10265861714,11274434
2092,9317435,10259408376,11299484
2093,9286446,10252184759,11317763
2094,9254329,10244185837,11329320
2095,9223772,10235403601,11343116
2096,9191489,10225850874,11363350
2097,9155099,10215549311,11393184
2098,9121179,10204489862,11420659
2099,9086861,10192689066,11431972
2100,9046832,10180160752,11437364
